wispyfrost,67
whiteglade,10
proudsilence,21
laterain,29
summerlake,55
crimsonviolet,55
mistysound,29
damphaze,45
hiddenresonance,78
hiddenresonance,78
hiddencherry,59
silentdawn,78
witheredviolet,79
dampwater,42
fragrantriver,14
floralsun,34
bittersea,73
solitarybutterfly,62
weatheredhaze,49
boldsky,41
boldsky,41
throbbingviolet,62
youngsnow,37
boldsun,24
emptyleaf,1
blackfire,9
icyrain,25
brokencloud,56
bitterresonance,37
bluewaterfall,1
littlesnowflake,0
littlesnowflake,0
livelyrain,59
solitarybird,75
wanderingwave,56
wildwildflower,35
smallleaf,43
polishedwater,79
greenriver,50
solitaryglitter,16
whitehaze,38
coldfog,54
coldfog,54
proudmountain,58
delicatevoice,30
fragrantdawn,69
summerthunder,67
purplestar,37
springglitter,4
blackwater,69
oldcloud,18
latebird,68
crimsonmountain,18
crimsonmountain,18
quietsilence,4
coolsky,60
darkpine,59
polishedvoice,17
redshadow,71
sparklingglitter,20
bluemeadow,68
delicatewood,19
solitaryfog,12
drysnow,71
drysnow,71
silentlake,12
fallingmorning,47
quietdew,66
hiddenfeather,36
dawnwater,68
winterwater,69
emptybreeze,41
emptymorning,78
lingeringdawn,78
wispygrass,14
wispygrass,14
quiettree,6
solitarytree,61
snowysky,37
whitefrog,70
whitewildflower,32
stillglitter,17
divinegrass,1
twilightsilence,1
sparklingfog,1
agedtree,28
agedtree,28
weathereddew,5
namelesssnowflake,9
namelessbutterfly,32
bitterdew,27
emptyfrost,51
lingeringdust,79
redvoice,76
sparklingwaterfall,58
quietfeather,51
lingeringriver,27
lingeringriver,27
stillwaterfall,79
lingeringriver,3
oldhaze,77
brokenfield,55
patientwind,53
roughglitter,21
throbbingtree,50
polishedstar,45
latefirefly,42
emptystar,50
emptystar,50
fallingleaf,2
agedflower,27
delicatesnowflake,61
fallingsun,44
patientbush,7
stillsilence,21
shysunset,20
delicatesky,60
muddyflower,41
stillnight,24
stillnight,24
witheredsmoke,39
patientsun,13
oldpond,76
hiddenrain,11
emptydarkness,54
greenwind,22
polisheddarkness,62
longsea,55
dampbutterfly,8
ancienttree,65
ancienttree,65
solitarywind,63
bluesmoke,23
frostyglitter,30
oldmoon,48
muddyviolet,38
livelysky,20
throbbingglitter,37
wildwater,52
boldtree,1
mistybrook,13
mistybrook,13
dawnpaper,24
bluesky,35
coldmeadow,27
throbbingbreeze,59
springhaze,35
bittershape,68
witheredshadow,16
blacksurf,56
bitterdarkness,3
wanderingmorning,48
wanderingmorning,48
latesilence,2
morningwind,78
quiethill,77
coolsilence,11
darkwood,42
quietsky,69
sparklingsunset,14
weatherednight,4
littlemoon,42
divinemountain,18
divinemountain,18
bitterresonance,33
springriver,21
sparklinggrass,77
whitefog,47
brokenbush,59
dampsun,21
autumnsun,63
agedbutterfly,35
floraldust,23
coldfrost,31
coldfrost,31
icysmoke,75
quietflower,39
wildsmoke,36
holydust,12
brokenvoice,47
ancientwave,38
longhill,55
littledust,51
livelyvoice,46
delicatewave,79
delicatewave,79
lingeringstar,79
longfeather,59
holyleaf,23
fragrantviolet,1
hiddenbutterfly,30
greentree,38
smallsun,57
weatheredshadow,17
restlesssurf,78
purplewind,40
purplewind,40
livelysnowflake,8
brokenmorning,69
divinesnowflake,65
redbreeze,24
holyfeather,28
brokensmoke,40
frostyfire,19
autumnstar,40
fragrantthunder,8
floralshadow,64
floralshadow,64
boldsound,72
emptymorning,59
wanderingsnowflake,8
sparklingcloud,35
whitewater,28
restlesssnowflake,50
emptywind,72
youngfeather,31
winterwaterfall,75
roughsnowflake,27
roughsnowflake,27
blackrain,59
coolnight,58
divineriver,2
fallinggrass,74
latesea,77
stilldarkness,37
drysea,14
stillsnowflake,57
fragrantrain,21
floralpond,29
floralpond,29
weatheredmoon,73
emptyshadow,60
namelessfrost,37
smalldew,29
darkfog,41
smallnight,52
weathereddream,44
twilightgrass,48
polishedriver,60
lingeringtree,20
lingeringtree,20
billowingwaterfall,42
snowybutterfly,5
restlessdawn,14
delicatefield,58
wintermeadow,68
delicatenight,6
shyrain,18
icyhaze,58
proudmoon,21
solitaryfire,55
solitaryfire,55
boldfire,17
mistystar,25
wanderingmeadow,31
quietresonance,40
coolmeadow,32
bitterwave,78
witheredforest,74
sparklingresonance,65
springmeadow,61
divinewater,65
divinewater,65
floraldew,44
wispyfrog,56
lingeringdawn,40
throbbingsnow,0
wildfire,43
morningvoice,49
smalldarkness,68
coolvoice,27
agedgrass,55
billowingresonance,8
billowingresonance,8
polishedsurf,39
witheredfield,19
sparklinglake,19
greentree,7
dawndarkness,19
lingeringnight,10
wispycloud,11
summerstar,75
summerglade,55
longwind,21
longwind,21
billowingfrost,2
coolthunder,67
hiddenlake,74
fragrantcherry,27
smallnight,26
purplehaze,74
wildforest,66
morningwaterfall,13
billowingthunder,33
throbbingpine,5
throbbingpine,5
agedflower,25
morningwater,2
billowingfield,30
quietsunset,17
livelydarkness,21
dawnsun,41
darkbreeze,36
ancientwaterfall,76
blackthunder,44
silentfire,28
silentfire,28
